oem,ownerNo,transmission,km,modelYear,Fuel Type,Engine Displacement,Mileage,Max Power,model,Gear Box,bt,price
Maruti,3.0,Manual,120000.0,2015.0,Petrol,998.0,23.1,67.04,Maruti Celerio,5.0,Hatchback,400000.0
Ford,2.0,Manual,32706.0,2018.0,Petrol,1497.0,17.0,121.31,Ford Ecosport,5.0,SUV,811000.0
Tata,1.0,Manual,11949.0,2018.0,Petrol,1199.0,23.84,84.0,Tata Tiago,5.0,Hatchback,585000.0
Hyundai,1.0,Manual,17794.0,2014.0,Petrol,1197.0,19.1,81.86,Hyundai Xcent,5.0,Sedan,462000.0
Maruti,1.0,Manual,60000.0,2015.0,Diesel,1248.0,23.65,88.5,Maruti SX4 S Cross,5.0,SUV,790000.0
Jeep,1.0,Manual,20000.0,2020.0,Diesel,1949.5,17.1,170.0,Jeep Compass,6.0,SUV,1775000.0
Datsun,1.0,Manual,37772.0,2017.0,Petrol,1198.0,20.63,67.0,Datsun GO,5.0,Hatchback,345000.0
Hyundai,1.0,Automatic,30000.0,2021.0,Petrol,998.0,18.15,118.35,Hyundai Venue,7.0,SUV,1200000.0
Maruti,1.0,Automatic,37000.0,2018.0,Petrol,1462.0,20.28,103.25,Maruti Ciaz,4.0,Sedan,960000.0
Tata,1.0,Manual,11949.0,2017.0,Petrol,1199.0,23.84,84.0,Tata Tiago,5.0,Hatchback,585000.0
Maruti,1.0,Manual,50000.0,2018.0,Petrol,1197.0,21.4,83.1,Maruti Baleno,5.0,Hatchback,690000.0
Hyundai,1.0,Automatic,24887.0,2019.0,Petrol,1197.0,18.9,81.86,Hyundai Grand i10,4.0,Hatchback,682000.0
Honda,1.0,Automatic,23000.0,2018.0,Petrol,1199.0,18.2,88.7,Honda Jazz,5.0,Hatchback,825000.0
Tata,1.0,Automatic,48928.0,2018.0,Petrol,1199.0,23.84,83.83,Tata Tiago,5.0,Hatchback,595000.0
Mahindra,3.0,Manual,108862.0,2014.0,Diesel,1949.5,15.1,140.0,Mahindra XUV500,6.0,SUV,690000.0
Jeep,1.0,Manual,80000.0,2018.0,Diesel,1949.5,17.1,170.0,Jeep Compass,6.0,SUV,1350000.0
Mercedes-Benz,1.0,Automatic,16000.0,2022.0,Diesel,1949.5,19.227390440730282,177.67499999999998,Mercedes-Benz GLA,7.5,SUV,1775000.0
Hyundai,2.0,Manual,65376.0,2014.0,Diesel,1396.0,21.27,88.76,Hyundai i20,6.0,Hatchback,521000.0
Tata,1.0,Manual,10000.0,2022.0,Petrol,1199.0,17.33,118.35,Tata Nexon,6.0,SUV,1005000.0
Honda,2.0,Manual,67000.0,2016.0,Petrol,1497.0,17.8,117.3,Honda City,5.0,Sedan,775000.0
BMW,3.0,Automatic,100000.0,2011.0,Diesel,1949.5,18.48,177.0,BMW 5 Series,6.0,Sedan,1775000.0
Maruti,1.0,Manual,18083.0,2016.0,Petrol,1197.0,22.38,88.5,Maruti Swift,5.0,Hatchback,582000.0
Renault,1.0,Manual,30000.0,2020.0,Petrol,1498.0,16.42,104.55,Renault Duster,5.0,SUV,1090000.0
Tata,2.0,Manual,57634.0,2016.0,Petrol,1199.0,23.84,84.0,Tata Tiago,5.0,Hatchback,457000.0
Mercedes-Benz,2.0,Automatic,50000.0,2016.0,Petrol,1949.5,10.400000000000002,177.67499999999998,Mercedes-Benz S-Class,7.0,Sedan,1775000.0
Honda,1.0,Manual,110000.0,2015.0,Petrol,1497.0,17.4,117.3,Honda City,5.0,Sedan,550000.0
Hyundai,1.0,Automatic,23447.0,2018.0,Petrol,1086.0,20.3,68.0,Hyundai Santro,5.0,Hatchback,570000.0
Hyundai,2.0,Manual,30000.0,2009.0,LPG,1086.0,13.45,62.1,Hyundai Santro Xing,5.0,Hatchback,220000.0
Mercedes-Benz,1.0,Automatic,33000.0,2017.0,Petrol,1949.5,15.0,177.67499999999998,Mercedes-Benz E-Class,7.5,Sedan,1775000.0
Mahindra,2.0,Manual,87667.0,2014.0,Diesel,1949.5,15.1,140.0,Mahindra XUV500,6.0,SUV,861000.0
