it,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,RTO,Engine Displacement,Comfort & Convenience,Interior,Exterior,Safety,Entertainment & Communication,Mileage,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size,city,Features Count
0,Hatchback,120000.0,Manual,3,Maruti,Maruti Celerio,2015,3979,VXI,400000.0,2015,Third Party,Petrol,5.0,KA51,998.0,10.0,7.0,5.0,13.0,7.0,23.1,67.04,90.0,White,K10B Engine,3.0,4.0,DOHC,MPFI,No,No,3715.0,1635.0,1565.0,2425.0,1420.0,1410.0,835.0,5.0,Front-Wheel Drive,Power,4.7,Ventilated Disc,Drum,150.0,15.05,"Tubeless, Radial",5.0,235.0,14.0,14.0,bangalore,8
0,SUV,32706.0,Manual,2,Ford,Ford Ecosport,2018,6087,1.5 Petrol Titanium BSIV,811000.0,2018,Comprehensive,Petrol,5.0,KA05,1497.0,17.0,12.0,12.0,27.0,9.0,17.0,121.31,150.0,White,Ti-VCT Petrol Engine,3.0,4.0,DOHC,Direct Injection,No,No,3998.0,1765.0,1647.0,2519.0,1458.0,1459.0,1242.0,5.0,Front-Wheel Drive,Power,5.3,Ventilated Disc,Drum,182.0,13.5,"Tubeless, Radial",4.0,352.0,16.0,16.0,bangalore,9
0,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2018,2983,1.2 Revotron XZ,585000.0,2018,Comprehensive,Petrol,5.0,KA03,1199.0,14.0,12.0,13.0,24.0,8.0,23.84,84.0,114.0,Red,Revotron Engine,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,Front-Wheel Drive,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,5.0,242.0,14.0,14.0,bangalore,9
0,Sedan,17794.0,Manual,1,Hyundai,Hyundai Xcent,2014,1867,1.2 Kappa S Option,462000.0,2014,Comprehensive,Petrol,5.0,KA53,1197.0,16.0,10.0,10.0,18.0,7.0,19.1,81.86,113.75,Others,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,Direct Injection,No,No,3995.0,1660.0,1520.0,2425.0,1479.0,1493.0,1180.0,5.0,Front-Wheel Drive,Power,4.7,Disc,Drum,172.0,14.2,"Tubeless, Radial",4.0,407.0,14.0,14.0,bangalore,9
0,SUV,60000.0,Manual,1,Maruti,Maruti SX4 S Cross,2015,4277,DDiS 200 Zeta,790000.0,2015,Third Party,Diesel,5.0,KA04,1248.0,21.0,11.0,13.0,22.0,8.0,23.65,88.5,200.0,Gray,DDiS 200 Diesel Engine,4.0,4.0,DOHC,DDIS,Yes,No,4300.0,1785.0,1595.0,2600.0,1458.0,1459.0,1230.0,5.0,Front-Wheel Drive,Power,5.2,Ventilated Disc,Solid Disc,190.0,12.0,"Tubeless, Radial",5.0,353.0,16.0,16.0,bangalore,9
0,SUV,20000.0,Manual,1,Jeep,Jeep Compass,2020,5931,2.0 Longitude BSIV,1900000.0,2020,Third Party,Diesel,5.0,KA04,1956.0,13.0,11.0,15.0,22.0,8.0,17.1,170.0,350.0,Others,2.0-Litre 4-Cyl Multijet II Engine,4.0,4.0,DOHC,CRDI,Yes,No,4395.0,1818.0,1640.0,2636.0,1458.0,1459.0,1551.0,6.0,Four-Wheel Drive,Power,5.5,Disc,Disc,186.69,9.99,"Radial, Tubeless",5.0,408.0,17.0,17.0,bangalore,9
0,Hatchback,37772.0,Manual,1,Datsun,Datsun GO,2017,5223,T Option BSIV,345000.0,2017,Comprehensive,Petrol,5.0,KA05,1198.0,11.0,8.0,5.0,17.0,5.0,20.63,67.0,104.0,Grey,Petrol Engine,3.0,4.0,DOHC,EFI,No,No,3785.0,1635.0,1490.0,2450.0,1440.0,1445.0,1070.0,5.0,Front-Wheel Drive,Power,4.6,Disc,Drum,150.0,13.3,Tubeless,5.0,265.0,14.0,14.0,bangalore,9
0,SUV,30000.0,Automatic,1,Hyundai,Hyundai Venue,2021,6946,SX Plus Turbo DCT BSIV,1200000.0,2021,Third Party,Petrol,5.0,KA51,998.0,20.0,11.0,12.0,31.0,6.0,18.15,118.35,171.6,Others,Kappa 1.0 L Turbo GDi Petrol,3.0,4.0,DOHC,GDI,Yes,No,3995.0,1770.0,1605.0,2500.0,1458.0,1459.0,1440.0,7.0,Front-Wheel Drive,Power,5.1,Disc,Drum,165.0,12.36,Radial,5.0,350.0,16.0,16.0,bangalore,9
0,Sedan,37000.0,Automatic,1,Maruti,Maruti Ciaz,2018,6555,Alpha Automatic BSIV,960000.0,2018,Comprehensive,Petrol,5.0,KA03,1462.0,22.0,12.0,11.0,29.0,8.0,20.28,103.25,138.0,Maroon,k15B VVT Engine,4.0,4.0,DOHC,MPFI,No,No,4490.0,1730.0,1485.0,2650.0,1458.0,1459.0,1105.0,4.0,Front-Wheel Drive,Power,5.4,Ventilated Disc,Drum,190.0,14.0,"Tubeless, Radial",4.0,510.0,16.0,16.0,bangalore,9
0,Hatchback,11949.0,Manual,1,Tata,Tata Tiago,2017,2985,1.2 Revotron XZ WO Alloy,585000.0,2018,Comprehensive,Petrol,5.0,KA03,1199.0,14.0,11.0,13.0,24.0,8.0,23.84,84.0,114.0,Red,Revotron Engine,3.0,4.0,DOHC,MPFI,No,No,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1012.0,5.0,Front-Wheel Drive,Power,4.9,Disc,Drum,150.0,14.3,Tubeless,5.0,242.0,14.0,14.0,bangalore,9
